loan_id,month,EAD,segment,funded_amnt,PD_t,PD_default,LGD,ECL_t
43509728,27,23452.76,60_D,35000.0,0.0084529034027545,0.4506226229688068,0.85,168.5073275867885
43509728,28,22915.54,60_D,35000.0,0.0077733562664547,0.4506226229688068,0.85,151.41105798946435
43509728,29,22370.46,60_D,35000.0,0.0066628767998183,0.4506226229688068,0.85,126.69387609497406
43509728,30,21817.4,60_D,35000.0,0.0065800051978305,0.4506226229688068,0.85,122.02481459267554
43509728,31,21256.24,60_D,35000.0,0.0061324985470964,0.4506226229688068,0.85,110.8007817792236
43509728,32,20686.86,60_D,35000.0,0.0059667553431208,0.4506226229688068,0.85,104.91841757178456
43509728,33,20109.15,60_D,35000.0,0.0059667553431208,0.4506226229688068,0.85,101.98842147690137
43509728,34,19522.98,60_D,35000.0,0.0050551677212551,0.4506226229688068,0.85,83.88814757090404
43509728,35,18928.22,60_D,35000.0,0.0051877622844356,0.4506226229688068,0.85,83.46583995337554
43509728,36,18324.76,60_D,35000.0,0.0042264517013772,0.4506226229688068,0.85,65.83140611743092
43509728,37,17712.46,60_D,35000.0,0.0038286680118358,0.4506226229688068,0.85,57.64285966098442
43509728,38,17091.2,60_D,35000.0,0.0035303302446798,0.4506226229688068,0.85,51.28694323619146
43509728,39,16460.84,60_D,35000.0,0.0040275598566065,0.4506226229688068,0.85,56.35246563152046
43509728,40,15821.25,60_D,35000.0,0.0033480127203067,0.4506226229688068,0.85,45.02428431347973
43509728,41,15172.3,60_D,35000.0,0.0028673574287775,0.4506226229688068,0.85,36.978746049145165
43509728,42,14513.84,60_D,35000.0,0.0024529994188385,0.4506226229688068,0.85,30.262074922348763
43509728,43,13845.75,60_D,35000.0,0.0023369791760556,0.4506226229688068,0.85,27.50364501284196
43509728,44,13167.87,60_D,35000.0,0.0020386414088996,0.4506226229688068,0.85,22.817880291656135
43509728,45,12480.06,60_D,35000.0,0.0016740063601533,0.4506226229688068,0.85,17.757944842831186
43509728,46,11782.19,60_D,35000.0,0.0017071550009484,0.4506226229688068,0.85,17.096920893531333
43509728,47,11074.1,60_D,35000.0,0.0015414117969728,0.4506226229688068,0.85,14.509286123728897
43509728,48,10355.64,60_D,35000.0,0.0013259456318046,0.4506226229688068,0.85,11.671363279160188
43509728,49,9626.66,60_D,35000.0,0.001160202427829,0.4506226229688068,0.85,9.493543158302163
43509728,50,8887.01,60_D,35000.0,0.0009613105830583,0.4506226229688068,0.85,7.261700250033685
43509728,51,8136.52,60_D,35000.0,0.0008287160198778,0.4506226229688068,0.85,5.73143479954839
43509728,52,7375.05,60_D,35000.0,0.0006298241751072,0.4506226229688068,0.85,3.948237065230726
43509728,53,6602.43,60_D,35000.0,0.0004806552915291,0.4506226229688068,0.85,2.6974689789833644
43509728,54,5818.5,60_D,35000.0,0.000596675534312,0.4506226229688068,0.85,2.950993106935651
43509728,55,5023.09,60_D,35000.0,0.000298337767156,0.4506226229688068,0.85,1.273790836600275
43509728,56,4216.03,60_D,35000.0,0.000298337767156,0.4506226229688068,0.85,1.0691308299934617
43509728,57,3397.16,60_D,35000.0,0.0003646350487462,0.4506226229688068,0.85,1.052915061869064
43509728,58,2566.3,60_D,35000.0,0.0002651891263609,0.4506226229688068,0.85,0.578471626733042
43509728,59,1723.27,60_D,35000.0,0.000298337767156,0.4506226229688068,0.85,0.4369990454059465
43509728,60,867.9,60_D,35000.0,0.0002817634467584,0.4506226229688068,0.85,0.2078611211254364
40532469,1,32225.0,60_E-G,32225.0,0.0062930401261362,0.5396586410103461,0.85,172.37423535503083
40532469,2,31956.82,60_E-G,32225.0,0.009933530005557,0.5396586410103461,0.85,269.82742579935854
40532469,3,31682.87,60_E-G,32225.0,0.014413091901796,0.5396586410103461,0.85,388.150899469258
40532469,4,31403.03,60_E-G,32225.0,0.0202324623410188,0.5396586410103461,0.85,540.0565285885522
40532469,5,31117.18,60_E-G,32225.0,0.0210174006793326,0.5396586410103461,0.85,555.9019040602781
40532469,6,30825.18,60_E-G,32225.0,0.0231827478195085,0.5396586410103461,0.85,607.4205182663147
40532469,7,30526.9,60_E-G,32225.0,0.0233316154353956,0.5396586410103461,0.85,605.4056075495623
40532469,8,30222.21,60_E-G,32225.0,0.0237240846045525,0.5396586410103461,0.85,609.4451269300705
40532469,9,29910.96,60_E-G,32225.0,0.0240082864167006,0.5396586410103461,0.85,610.3942604767043
40532469,10,29593.03,60_E-G,32225.0,0.0242924882288487,0.5396586410103461,0.85,611.0550829913218
40532469,11,29268.26,60_E-G,32225.0,0.0246714239783795,0.5396586410103461,0.85,613.7762038340287
40532469,12,28936.51,60_E-G,32225.0,0.023115080721378,0.5396586410103461,0.85,568.5392997782186
40532469,13,28597.62,60_E-G,32225.0,0.0208549996438194,0.5396586410103461,0.85,506.94285167697075
40532469,14,28251.45,60_E-G,32225.0,0.0202324623410188,0.5396586410103461,0.85,485.8569384735503
40532469,15,27897.84,60_E-G,32225.0,0.0177693799690687,0.5396586410103461,0.85,421.3682213848416
40532469,16,27536.62,60_E-G,32225.0,0.0172551100232769,0.5396586410103461,0.85,403.87529660379306
40532469,17,27167.64,60_E-G,32225.0,0.0162807038101977,0.5396586410103461,0.85,375.9620550527692
40532469,18,26790.72,60_E-G,32225.0,0.0152656973382403,0.5396586410103461,0.85,347.63216954451013
40532469,19,26405.71,60_E-G,32225.0,0.0137228875008649,0.5396586410103461,0.85,308.008199553895
40532469,20,26012.41,60_E-G,32225.0,0.0136416869831083,0.5396586410103461,0.85,301.625181661836
40532469,21,25610.66,60_E-G,32225.0,0.0131003501980643,0.5396586410103461,0.85,285.1823225830255
40532469,22,25200.26,60_E-G,32225.0,0.0128702820644206,0.5396586410103461,0.85,275.68428615222723
40532469,23,24781.05,60_E-G,32225.0,0.0124236792167593,0.5396586410103461,0.85,261.6910434763041
40532469,24,24352.82,60_E-G,32225.0,0.010880869379384,0.5396586410103461,0.85,225.2328754237037
40532469,25,23915.39,60_E-G,32225.0,0.0103801328532183,0.5396586410103461,0.85,211.00818662105044
40532469,26,23468.55,60_E-G,32225.0,0.0095816610952784,0.5396586410103461,0.85,191.1375386229583
40532469,27,23012.1,60_E-G,32225.0,0.0087561224980864,0.5396586410103461,0.85,171.27225155748226
40532469,28,22545.85,60_E-G,32225.0,0.0075787149906157,0.5396586410103461,0.85,145.23828566549807
40532469,29,22069.56,60_E-G,32225.0,0.0075516481513635,0.5396586410103461,0.85,141.66231917909602
40532469,30,21583.04,60_E-G,32225.0,0.0071321121429544,0.5396586410103461,0.85,130.84276241599122
40532469,31,21086.05,60_E-G,32225.0,0.0062930401261362,0.5396586410103461,0.85,112.7910549389588
40532469,32,20578.38,60_E-G,32225.0,0.0056705028233357,0.5396586410103461,0.85,99.18629760622396
40532469,33,20059.8,60_E-G,32225.0,0.0057923035999706,0.5396586410103461,0.85,98.76358399148693
40532469,34,19530.06,60_E-G,32225.0,0.0054133678504398,0.5396586410103461,0.85,89.86488908298668
40532469,35,18988.94,60_E-G,32225.0,0.0051291660382917,0.5396586410103461,0.85,82.7878122284855
40532469,36,18436.18,60_E-G,32225.0,0.0042630271822213,0.5396586410103461,0.85,66.80484600487696
40532469,37,17871.54,60_E-G,32225.0,0.0036946235579251,0.5396586410103461,0.85,56.12432079534185
40532469,38,17294.76,60_E-G,32225.0,0.0036675567186729,0.5396586410103461,0.85,53.915086250461215
40532469,39,16705.58,60_E-G,32225.0,0.0030856196747507,0.5396586410103461,0.85,43.81500637720354
40532469,40,16103.73,60_E-G,32225.0,0.0029638188981158,0.5396586410103461,0.85,40.569258408531255
40532469,41,15488.94,60_E-G,32225.0,0.0023954152738196,0.5396586410103461,0.85,31.537076933584345
40532469,42,14860.93,60_E-G,32225.0,0.0021653471401759,0.5396586410103461,0.85,27.352211434476477
40532469,43,14219.42,60_E-G,32225.0,0.0017864113906451,0.5396586410103461,0.85,21.591473777912245
40532469,44,13564.12,60_E-G,32225.0,0.0018134782298973,0.5396586410103461,0.85,20.908500878557856
40532469,45,12894.73,60_E-G,32225.0,0.0014210090607404,0.5396586410103461,0.85,15.574998940931492
40532469,46,12210.94,60_E-G,32225.0,0.0016240103551319,0.5396586410103461,0.85,16.856089055010667
40532469,47,11512.46,60_E-G,32225.0,0.0012180077663489,0.5396586410103461,0.85,11.918925836314491
40532469,48,10798.96,60_E-G,32225.0,0.0011774075074706,0.5396586410103461,0.85,10.80756009034407
40532469,49,10070.12,60_E-G,32225.0,0.0009879396327052,0.5396586410103461,0.85,8.456370055983276
