segment,timeline,survival_prob,ci_lower,ci_upper
60_A,31.0,0.9104928457869634,0.9031679047849795,0.9172893543388243
60_A,32.0,0.9092209856915736,0.9018517295114749,0.9160629916964952
60_A,33.0,0.9082670906200317,0.9008648742043422,0.9151429436027427
60_A,34.0,0.9055643879173296,0.8980700389927545,0.9125348860357714
60_A,35.0,0.9041335453100154,0.896591153214166,0.9111534169414087
60_A,36.0,0.902861685214626,0.8952770032907813,0.9099250292818005
60_A,37.0,0.9020667726550075,0.8944558548503557,0.9091570917742383
60_A,38.0,0.9014308426073141,0.8937990429150374,0.9085426349750205
60_A,39.0,0.9004769475357706,0.8928140011321475,0.907620773697176
60_A,40.0,0.8998410174880761,0.8921574228584535,0.9070060832919019
60_A,41.0,0.8987281399046104,0.8910086319895145,0.9059301540287215
60_A,42.0,0.8980922098569163,0.8903523050952186,0.905315212309026
60_A,43.0,0.8976152623211441,0.8898601190214521,0.9048539469384002
60_A,44.0,0.8968203497615271,0.8890399205394592,0.9040850597110351
60_A,45.0,0.8966613672496024,0.8888758974864622,0.9039312656269194
60_A,46.0,0.8960254372019086,0.8882198603766545,0.9033160342044037
60_A,47.0,0.8955484896661362,0.8877278900897476,0.9028545531091915
60_A,48.0,0.8952305246422888,0.8873999371355878,0.9025468718168709
60_A,50.0,0.8950715421303654,0.8872359687968544,0.9023930230348652
60_A,51.0,0.8947535771065188,0.8869080483418432,0.9020853092534346
60_A,52.0,0.8945945945945941,0.8867440962039905,0.9019314442755954
60_A,53.0,0.8944356120826717,0.8865801494449276,0.901777573920668
60_A,54.0,0.8942766295707468,0.886416208053963,0.9016236981993414
60_A,56.0,0.8939586645469006,0.8860883413337911,0.9013159307000775
60_A,60.0,0.8939586645469006,0.8860883413337911,0.9013159307000775
60_B,0.0,1.0,1.0,1.0
60_B,1.0,0.9982019277007657,0.9977792347903742,0.9985442253753593
60_B,2.0,0.9962156850446381,0.995623493349875,0.9967278781110778
60_B,3.0,0.9930376967948301,0.9922513369635549,0.9937445059894723
60_B,4.0,0.9887934098559441,0.9878094243091788,0.989698385859347
60_B,5.0,0.9842145978381317,0.9830574171865369,0.9852933353171398
60_B,6.0,0.978841288757865,0.9775118886974187,0.980092902973979
60_B,7.0,0.9735934265821984,0.9721172139521055,0.9749924923368829
60_B,8.0,0.9675301595266456,0.965902909135346,0.9690809997388418
60_B,9.0,0.9615296159233931,0.9597676029798905,0.9632159470922091
60_B,10.0,0.9549854690668832,0.9530894131223513,0.9568066374269518
60_B,11.0,0.9488176629241666,0.9468052169185666,0.9507559699498415
60_B,12.0,0.9418762675364313,0.9397423291648321,0.9439369097193381
60_B,13.0,0.9357084613937142,0.9334737082799895,0.9378706675489598
60_B,14.0,0.9300842585042536,0.927762640620566,0.9323340129796359
60_B,15.0,0.9242718852578974,0.9218649877526095,0.926607626165855
60_B,16.0,0.9190031152647963,0.916522461388809,0.921413253616272
60_B,17.0,0.9134834514625012,0.9109288118619687,0.9159682475307855
60_B,18.0,0.9083819440088646,0.905761663525179,0.9109330024140152
60_B,19.0,0.9030086349285996,0.9003218404590706,0.9056268622794288
60_B,20.0,0.8979489431098276,0.8952018026330417,0.9006281335809564
60_B,21.0,0.8930146981956544,0.8902107011503992,0.8957513474108668
60_B,22.0,0.8879340985594503,0.8850734881833935,0.8907279815235312
60_B,23.0,0.8829998536452777,0.8800860259002774,0.8858475569006615
60_B,24.0,0.8784210416274638,0.8754593017299023,0.8813172168636209
60_B,25.0,0.8739676765142473,0.8709606290004613,0.8769097041720996
60_B,26.0,0.8695770348533307,0.8665265082286414,0.8725630790619884
60_B,27.0,0.8653745635493107,0.8622834811829259,0.8684016781958034
60_B,28.0,0.8610675531581258,0.8579359384987444,0.8641357278939246
60_B,29.0,0.8574295929247939,0.8542645264356469,0.8605316655351913
60_B,30.0,0.8541470655878229,0.8509524116056792,0.8572791283442821
60_B,31.0,0.8507599991636864,0.8475353907867368,0.8539224319790929
60_B,32.0,0.8475611030964477,0.8443087264168082,0.8507516969625899
60_B,33.0,0.8444040226640727,0.841124724777337,0.8476219255205626
60_B,34.0,0.841706914215224,0.8384049892858048,0.8449477755334062
60_B,35.0,0.8393234230278693,0.8360017812724212,0.8425842941573524
