fpr,tpr,split
0.4792132763161621,0.7638547006293187,train
0.4812995006277553,0.7653761179895278,train
0.4834187646908895,0.7670156257703107,train
0.48546722928643576,0.7686837962745339,train
0.48752041384648787,0.7702705646441866,train
0.48977655688029226,0.7719043398802815,train
0.4918863810144148,0.7735232105001875,train
0.49401036504205487,0.7751191509413412,train
0.4961721087857419,0.7767781493740634,train
0.4982772129553586,0.7783786758509676,train
0.5003587173024459,0.7799803488368093,train
0.5025110211171212,0.7816301751980308,train
0.5045783655706909,0.783268536469876,train
0.5068203487109777,0.7847463864904559,train
0.5089868124191707,0.7862746829042906,train
0.5112476754174808,0.787836228077316,train
0.5134235790546855,0.7893530594017746,train
0.5156278024789254,0.7908905278871101,train
0.5178084260806358,0.7923981871400678,train
0.520003209575864,0.79395170675053,train
0.5221507934260334,0.7955178379593059,train
0.5244305362823671,0.7970679180429551,train
0.5265875600615484,0.7985870423852889,train
0.5287068241246826,0.8001245108706245,train
0.5308732878328755,0.8016436352129583,train
0.5330775112571153,0.802989636705713,train
0.5352014952847555,0.8045328377357366,train
0.5374057187089953,0.8060622806585088,train
0.5396335419557645,0.8076146537600334,train
0.5418660851670395,0.8090787456733619,train
0.544051428733256,0.810543984095628,train
0.5461612528673785,0.812065401455837,train
0.5484740354752532,0.813539811949604,train
0.5505885795738816,0.814982120193118,train
0.5527408833885569,0.8164530911600721,train
0.5550017463868672,0.8178759087516466,train
0.5572201297046246,0.8194328678889217,train
0.5595989918155816,0.8209130109273767,train
0.5618456949203742,0.8223484401172649,train
0.5640593582736257,0.8237231043334599,train
0.566249421804348,0.8252456682026065,train
0.5684819650156231,0.8266031347847372,train
0.5707381080494275,0.8279571618400551,train
0.5729612113316908,0.829388004994193,train
0.5751984745074717,0.8309117153722771,train
0.5774262977542409,0.8322645959186575,train
0.5798051598651978,0.8337263948141108,train
0.5821226624375785,0.8352008053078778,train
0.5842277666071951,0.8366213298815771,train
0.5865263893215523,0.8380957403753441,train
0.5888202920714036,0.8394898952434784,train
0.5912085941113723,0.8408485083345467,train
0.5934364173581415,0.8422804979976222,train
0.595758639895028,0.8436792389015069,train
0.5981894216155494,0.8450848588590172,train
0.6004833243654008,0.8463723883959537,train
0.6026639479671113,0.8477344410138349,train
0.6049625706814685,0.8490987866495914,train
0.6072706333248374,0.8503863161865278,train
0.6095975758262298,0.8517414897507833,train
0.6119150783986105,0.8531803584674844,train
0.6141901012904383,0.8545538761747418,train
0.616649202797995,0.8559159287926229,train
0.6189572654413639,0.8573215487501333,train
0.6213550074103443,0.8587799081187737,train
0.6237197096277836,0.8600628516199598,train
0.6260088924131291,0.8614570064880941,train
0.6281989559438513,0.8628889961511695,train
0.6306391775933845,0.8642499022601131,train
0.632890600662683,0.8656085153511814,train
0.6352128231995695,0.8669591028796865,train
0.6375444856654678,0.8682374603451222,train
0.6399516675634599,0.8695834618378767,train
0.6422833300293582,0.870795321784931,train
0.6445961126372329,0.8722376300284449,train
0.6469608148546723,0.8735354781458199,train
0.6493160771430999,0.8748390588078829,train
0.6516996592185627,0.8760910465677535,train
0.653960522216873,0.8773957737387542,train
0.6562921846827712,0.8786534940433128,train
0.6587843259418689,0.8799765653573153,train
0.6613189468815195,0.8813053692160058,train
0.6637214088150057,0.8826651288160117,train
0.666156910500033,0.8839228491205703,train
0.6686679316171542,0.8851782764072538,train
0.6711411930182285,0.8865391825161973,train
0.6735955745612793,0.8877521889721891,train
0.6759933165302597,0.8890546231253146,train
0.6785892970084865,0.890263043545556,train
0.6810483985160432,0.8914794895283606,train
0.6834603003785411,0.8927830701904237,train
0.6860326810342386,0.8939192605475956,train
0.6885861818319127,0.8951838599057799,train
0.6910405633749634,0.8964347011567129,train
0.6935563044565904,0.8976431215769543,train
0.6959587663900767,0.8988630070865717,train
0.6985264270812683,0.9001734668022604,train
0.700985528588825,0.9013497849722487,train
0.7036192687830988,0.9024962939098592,train
0.7060170107520791,0.9037700653395444,train
0.7084855521886475,0.9049853648134114,train
0.7109729734832394,0.906216715412405,train
0.7133943152747492,0.9073563452963898,train
0.7160280554690229,0.9084673124569342,train
0.7187561949534139,0.9096677073146123,train
0.7214088150057112,0.9108807137706042,train
0.7240614350580084,0.9121212364410987,train
0.7266479756072234,0.913256280289333,train
0.7291778765823681,0.9143844450839417,train
0.7317549772025714,0.9155676423075556,train
0.7342943181067279,0.9168505858087417,train
0.7369091784429781,0.9180441016127942,train
0.7394721191696638,0.9192387639257842,train
0.7420350598963495,0.9203829798455194,train
0.7445838407295177,0.9215501259440068,train
0.7470854219176272,0.9226805837564906,train
0.7496955622893716,0.9238603414532918,train
0.7522207433000104,0.9249885062479004,train
0.7550527220035306,0.926093740863757,train
0.7576911821623101,0.9271771918097987,train
0.7605420407238538,0.9282961845329065,train
0.7631663409891157,0.929433521399016,train
0.7657104018577781,0.9305479280863734,train
0.7683111023005107,0.9317414438904259,train
0.7709920421398431,0.9328191622917796,train
0.7736352222631285,0.9339243969076361,train
0.7762878423154258,0.9350502686843696,train
0.7791245409834519,0.9362116822381689,train
0.7819470797579602,0.9372928401663355,train
0.7847035390293865,0.9384003678000672,train
0.7876251970585181,0.9394826722371714,train
0.7902966969688388,0.9405500720580867,train
0.7930201164887241,0.9416725043080073,train
0.7957388160441033,0.9427639808166125,train
0.7984669555284944,0.9438795340129074,train
0.8012753344094853,0.9449354687444466,train
0.804083713290476,0.9460154801636756,train
0.8068212927038788,0.9470381661360241,train
