segment,month,count,w_t
36_E-G,32,118,0.0075967295435524365
36_E-G,33,82,0.00527908324212966
36_E-G,34,73,0.004699671666773965
36_E-G,35,39,0.0025107834932080087
36_E-G,36,31,0.001995750981780725
60_A,1,9,0.013493253373313344
60_A,2,13,0.019490254872563718
60_A,3,12,0.017991004497751123
60_A,4,15,0.022488755622188907
60_A,5,13,0.019490254872563718
60_A,6,21,0.031484257871064465
60_A,7,26,0.038980509745127435
60_A,8,21,0.031484257871064465
60_A,9,14,0.020989505247376312
60_A,10,18,0.026986506746626688
60_A,11,22,0.03298350824587706
60_A,12,20,0.029985007496251874
60_A,13,18,0.026986506746626688
60_A,14,18,0.026986506746626688
60_A,15,25,0.037481259370314844
60_A,16,24,0.035982008995502246
60_A,17,15,0.022488755622188907
60_A,18,23,0.034482758620689655
60_A,19,18,0.026986506746626688
60_A,20,18,0.026986506746626688
60_A,21,15,0.022488755622188907
60_A,22,23,0.034482758620689655
60_A,23,16,0.0239880059970015
60_A,24,17,0.025487256371814093
60_A,25,18,0.026986506746626688
60_A,26,19,0.02848575712143928
60_A,27,14,0.020989505247376312
60_A,28,22,0.03298350824587706
60_A,29,15,0.022488755622188907
60_A,30,23,0.034482758620689655
60_A,31,18,0.026986506746626688
60_A,32,8,0.01199400299850075
60_A,33,6,0.008995502248875561
60_A,34,17,0.025487256371814093
60_A,35,9,0.013493253373313344
60_A,36,8,0.01199400299850075
60_A,37,5,0.0074962518740629685
60_A,38,4,0.005997001499250375
60_A,39,6,0.008995502248875561
60_A,40,4,0.005997001499250375
60_A,41,7,0.010494752623688156
60_A,42,4,0.005997001499250375
60_A,43,3,0.004497751124437781
60_A,44,5,0.0074962518740629685
60_A,45,1,0.0014992503748125937
60_A,46,4,0.005997001499250375
60_A,47,3,0.004497751124437781
60_A,48,2,0.0029985007496251873
60_A,50,1,0.0014992503748125937
60_A,51,2,0.0029985007496251873
60_A,52,1,0.0014992503748125937
60_A,53,1,0.0014992503748125937
60_A,54,1,0.0014992503748125937
60_A,56,2,0.0029985007496251873
60_B,1,86,0.009982588508415555
60_B,2,95,0.011027278003482298
60_B,3,152,0.01764364480557168
60_B,4,203,0.023563551944283227
60_B,5,219,0.025420777713290772
60_B,6,257,0.029831688914683692
60_B,7,251,0.02913522925130586
60_B,8,290,0.03366221706326175
60_B,9,287,0.03331398723157284
60_B,10,313,0.0363319791062101
60_B,11,295,0.03424260011607661
60_B,12,332,0.038537434706906556
60_B,13,295,0.03424260011607661
60_B,14,269,0.03122460824143935
60_B,15,278,0.032269297736506095
60_B,16,252,0.029251305861868835
60_B,17,264,0.03064422518862449
60_B,18,244,0.02832269297736506
60_B,19,257,0.029831688914683692
60_B,20,242,0.028090539756239118
60_B,21,236,0.02739408009286129
60_B,22,243,0.02820661636680209
60_B,23,236,0.02739408009286129
60_B,24,219,0.025420777713290772
60_B,25,213,0.024724318049912944
60_B,26,210,0.024376088218224026
60_B,27,201,0.023331398723157284
60_B,28,206,0.02391178177597214
60_B,29,174,0.020197330237957053
60_B,30,157,0.018224027858386536
60_B,31,162,0.018804410911201393
60_B,32,153,0.01775972141613465
60_B,33,151,0.017527568195008707
60_B,34,129,0.014973882762623332
60_B,35,114,0.013232733604178757
60_B,36,96,0.01114335461404527
60_B,37,99,0.011491584445734185
60_B,38,87,0.010098665118978526
