index,Original feature name,Proportions_Train,Proportions_2019Q1,Contribution
term:36,term,0.7592598742166212,0.7461328480436761,0.00022894116786017417
purpose:debt_consolidation,purpose,0.5857625686523025,0.494540491355778,0.01544257527489509
purpose:educational_other,purpose,0.05337399431410423,0.09554140127388536,0.0245513842669245
purpose:vacation_major_purchase_home_improvement,purpose,0.08845884920569032,0.12238398544131028,0.011012983327085805
purpose:credit_card_car_wedding,purpose,0.23834363694393249,0.22793448589626933,0.0004648231374028881
addr_state:LA_NV_TN_SD,addr_state,0.04310266897644652,0.04094631483166515,0.00011067079245646385
addr_state:NY,addr_state,0.08273052137930016,0.06960873521383075,0.002266113181102791
addr_state:IN_NM_MO,addr_state,0.037222139202978365,0.03776160145586897,7.762337298088436e-06
addr_state:FL,addr_state,0.07015864055065742,0.0832575068243858,0.0022422550922381284
addr_state:KY_MD_ND_IA_NJ_OH_PA_NC_ID,addr_state,0.16638716854566887,0.15423111919927207,0.0009222206518435473
addr_state:HI_MI_VA_DE_MN_AZ,addr_state,0.10409321769675099,0.09781619654231119,0.000390409684922157
addr_state:TX_AK,addr_state,0.08394813695592417,0.08735213830755233,0.0001353033522799215
addr_state:CA,addr_state,0.14666179620436018,0.13330300272975432,0.0012758245836039174
addr_state:MA_GA_RI_IL_UT,addr_state,0.10635134112976277,0.11191992720655142,0.0002841957298358317
addr_state:WI_CT_MT_WY_SC_KS,addr_state,0.05345424624983627,0.058689717925386714,0.0004891944665611081
addr_state:WV_WA_CO_ME_OR_NH_VT_DC,addr_state,0.07007008669053931,0.08098271155595996,0.0015794902099754138
grade:G,grade,0.006307617661329452,0.00045495905368516835,0.015388429875273233
verification_status:Verified,verification_status,0.3217014148324026,0.1592356687898089,0.11425217302675723
inq_last_6mths:>2,inq_last_6mths,0.0583394675330186,0.03230209281164695,0.015391911173320623
mths_since_earliest_cr_line:<250,mths_since_earliest_cr_line,0.16956403827740604,0.45586897179253866,0.2831483538397484
annual_inc:<30K,annual_inc,0.07379303855967147,0.07961783439490445,0.00044253140344312247
dti:>=30.2,dti,0.08994673854288313,0.12192902638762511,0.00972969712999829
installment:>798.687,installment,0.09755037884448282,0.1305732484076433,0.009628326474623422
total_rev_hi_lim:<=20K,total_rev_hi_lim,0.44720160577666346,0.2888989990900819,0.06916753306262495
home_ownership:RENT_OTHER_NONE_ANY,home_ownership,0.4029043821246654,0.35668789808917195,0.00563092879889988
int_rate:>22.772,int_rate,0.03327503537542224,0.07825295723384895,0.03846238382009524
term:60,term,0.2407401257833788,0.2538671519563239,0.0006969541321204297
purpose:small_business_renewable_energy_moving_house_medical,purpose,0.03406095088397046,0.05959963603275705,0.014288840057406925
addr_state:NE_MS_AL_AR_OK,addr_state,0.035820036417774974,0.04413102820746133,0.0017341358860457007
Score:300-350,Score,1.8448720857939316e-06,0.0,0.0
Score:350-400,Score,0.002586510664283092,0.0,0.0
Score:400-450,Score,0.033497342461760414,0.01637852593266606,0.012248428038369794
Score:450-500,Score,0.10036934339157595,0.08234758871701547,0.003566642947846462
Score:500-550,Score,0.1861798787181091,0.17606915377616014,0.000564547080875555
Score:550-600,Score,0.23789994520729904,0.23202911737943585,0.0001466962374768948
Score:600-650,Score,0.20397735972976314,0.19745222929936307,0.0002121471798137028
Score:650-700,Score,0.12973417238115795,0.14012738853503184,0.000800946945024946
Score:700-750,Score,0.09241425495763252,0.12010919017288443,0.007259396584322631
Score:750-800,Score,0.013184378361126332,0.03503184713375796,0.021349890368812092
Score:800-850,Score,0.00015496925520669025,0.00045495905368516835,0.00032308321693682484
